Year,Harvested Area('000 sq ft),Harvested Area(acres),Production,Production(tonnes),Value($ '000),Average Price (cents/lb),Average Price ($/tonne)
2021,36039,827,156780,71114.3,417415,266.24,5869.64
2020,33430,767,147240,66787.02,369977,251.27,5539.65
2019,34033,781,147020,66687.23,339329,230.8,5088.37
2018,31965,734,152550,69195.6,338350,221.8,4889.76
2017,29199,670,139118,63102.94,311346,223.8,4933.94
2016,28907,664,134664,61082.64,287959,213.84,4714.25
2015,27613,634,128662,58360.17,257466,200.11,4411.67
2014,32789,753,142078,64445.57,267284,188.12,4147.44
2013,33865,777,149312,67726.86,278069,186.23,4105.74
2012,32294,741,152600,69218.28,268625,176.03,3880.84
2011,28039,644,143996,65315.56,234385,162.77,3588.5
2010,28123,646,131912,59834.35,235375,178.43,3933.78
2009,26408,606,135682,61544.39,236754,174.49,3846.88
2008,32214,740,149882,67985.41,250412,167.07,3683.32
2007,22627,519,106162,48154.33,176080,165.86,3656.58
2006,22770,523,121662,55185.02,176863,145.37,3204.91
2005,23121,531,97164,44072.9,153634,158.12,3485.91
2004,23736,545,106334,48232.35,161600,151.97,3350.45
2003,22176,509,108340,49142.26,165035,152.33,3358.31
2002,21536,494,100420,45549.8,153586,152.94,3371.83
2001,18149,417,94560,42891.75,143040,151.27,3334.91
2000,18268,419,95982,43536.75,140893,146.79,3236.19
1999,16157,371,73252,33226.59,110050,150.23,3312.11
1998,16910,388,83180,37729.86,116959,140.61,3099.91
1997,16795,386,80348,36445.28,111060,138.22,3047.31
1996,16588,381,75480,34237.19,104320,138.21,3046.98
1995,15998,367,77018,34934.82,108925,141.43,3117.95
1994,15398,353,72822,33031.54,97847,134.36,2962.23
1993,15562,357,70706,32071.74,85170,120.46,2655.61
1992,14058,323,64402,29212.29,76885,119.38,2631.94
1991,14876,342,61150,27737.21,74410,121.68,2682.68
1990,14038,322,60292,27348.02,76021,126.09,2779.76
1989,15713,361,63274,28700.64,85377,134.93,2974.74
1988,16145,371,61506,27898.69,80033,130.12,2868.7
1987,15813,363,55262,25066.45,70825,128.16,2825.49
1986,15286,351,59484,26981.52,69866,117.45,2589.4
1985,14851,341,50842,23061.57,60910,119.8,2641.19
1984,12757,293,46174,20944.2,55440,120.07,2647.03
1983,12254,281,40438,18342.39,47884,118.41,2610.56
